C:\Users\ZhouXunZhe\PycharmProjects\K-nn\venv\Scripts\python.exe C:/Users/ZhouXunZhe/PycharmProjects/K-nn/test.py
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
10000 numbers imported
12000 numbers imported
14000 numbers imported
16000 numbers imported
18000 numbers imported
20000 numbers imported
22000 numbers imported
24000 numbers imported
26000 numbers imported
28000 numbers imported
30000 numbers imported
32000 numbers imported
34000 numbers imported
36000 numbers imported
38000 numbers imported
40000 numbers imported
42000 numbers imported
44000 numbers imported
46000 numbers imported
48000 numbers imported
50000 numbers imported
52000 numbers imported
54000 numbers imported
56000 numbers imported
58000 numbers imported
59999 numbers imported
0 numbers imported
2000 numbers imported
4000 numbers imported
6000 numbers imported
8000 numbers imported
9999 numbers imported
the NO.0 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.52 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.53 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.54 classifier came back with: 6, the real answer is: 6, error count is: 0
the NO.55 classifier came back with: 0, the real answer is: 0, error count is: 0
the NO.56 classifier came back with: 4, the real answer is: 4, error count is: 0
the NO.57 classifier came back with: 1, the real answer is: 1, error count is: 0
the NO.58 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.59 classifier came back with: 5, the real answer is: 5, error count is: 0
the NO.60 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.61 classifier came back with: 8, the real answer is: 8, error count is: 0
the NO.62 classifier came back with: 9, the real answer is: 9, error count is: 0
the NO.63 classifier came back with: 3, the real answer is: 3, error count is: 0
the NO.64 classifier came back with: 7, the real answer is: 7, error count is: 0
the NO.65 classifier came back with: 9, the real answer is: 4, error count is: 0
the NO.66 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.67 classifier came back with: 4, the real answer is: 4, error count is: 1
the NO.68 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.69 classifier came back with: 0, the real answer is: 0, error count is: 1
the NO.70 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.71 classifier came back with: 0, the real answer is: 0, error count is: 1
the NO.72 classifier came back with: 2, the real answer is: 2, error count is: 1
the NO.73 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.74 classifier came back with: 1, the real answer is: 1, error count is: 1
the NO.75 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.76 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.77 classifier came back with: 2, the real answer is: 2, error count is: 1
the NO.78 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.79 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.80 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.81 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.82 classifier came back with: 2, the real answer is: 2, error count is: 1
the NO.83 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.84 classifier came back with: 8, the real answer is: 8, error count is: 1
the NO.85 classifier came back with: 4, the real answer is: 4, error count is: 1
the NO.86 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.87 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.88 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.89 classifier came back with: 1, the real answer is: 1, error count is: 1
the NO.90 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.91 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.92 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.93 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.94 classifier came back with: 1, the real answer is: 1, error count is: 1
the NO.95 classifier came back with: 4, the real answer is: 4, error count is: 1
the NO.96 classifier came back with: 1, the real answer is: 1, error count is: 1
the NO.97 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.98 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.99 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.100 classifier came back with: 6, the real answer is: 6, error count is: 1
the NO.101 classifier came back with: 0, the real answer is: 0, error count is: 1
the NO.102 classifier came back with: 5, the real answer is: 5, error count is: 1
the NO.103 classifier came back with: 4, the real answer is: 4, error count is: 1
the NO.104 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.105 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.106 classifier came back with: 2, the real answer is: 2, error count is: 1
the NO.107 classifier came back with: 1, the real answer is: 1, error count is: 1
the NO.108 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.109 classifier came back with: 4, the real answer is: 4, error count is: 1
the NO.110 classifier came back with: 8, the real answer is: 8, error count is: 1
the NO.111 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.112 classifier came back with: 3, the real answer is: 3, error count is: 1
the NO.113 classifier came back with: 9, the real answer is: 9, error count is: 1
the NO.114 classifier came back with: 7, the real answer is: 7, error count is: 1
the NO.115 classifier came back with: 9, the real answer is: 4, error count is: 1
the NO.116 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.117 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.118 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.119 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.120 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.121 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.122 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.123 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.124 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.125 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.126 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.127 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.128 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.129 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.130 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.131 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.132 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.133 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.134 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.135 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.136 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.137 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.138 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.139 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.140 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.141 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.142 classifier came back with: 3, the real answer is: 3, error count is: 2
the NO.143 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.144 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.145 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.146 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.147 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.148 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.149 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.150 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.151 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.152 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.153 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.154 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.155 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.156 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.157 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.158 classifier came back with: 3, the real answer is: 3, error count is: 2
the NO.159 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.160 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.161 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.162 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.163 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.164 classifier came back with: 6, the real answer is: 6, error count is: 2
the NO.165 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.166 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.167 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.168 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.169 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.170 classifier came back with: 4, the real answer is: 4, error count is: 2
the NO.171 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.172 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.173 classifier came back with: 3, the real answer is: 3, error count is: 2
the NO.174 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.175 classifier came back with: 7, the real answer is: 7, error count is: 2
the NO.176 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.177 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.178 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.179 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.180 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.181 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.182 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.183 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.184 classifier came back with: 8, the real answer is: 8, error count is: 2
the NO.185 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.186 classifier came back with: 2, the real answer is: 2, error count is: 2
the NO.187 classifier came back with: 5, the real answer is: 5, error count is: 2
the NO.188 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.189 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.190 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.191 classifier came back with: 1, the real answer is: 1, error count is: 2
the NO.192 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.193 classifier came back with: 9, the real answer is: 9, error count is: 2
the NO.194 classifier came back with: 0, the real answer is: 0, error count is: 2
the NO.195 classifier came back with: 5, the real answer is: 3, error count is: 2
the NO.196 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.197 classifier came back with: 6, the real answer is: 6, error count is: 3
the NO.198 classifier came back with: 4, the real answer is: 4, error count is: 3
the NO.199 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.200 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.201 classifier came back with: 6, the real answer is: 6, error count is: 3
the NO.202 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.203 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.204 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.205 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.206 classifier came back with: 9, the real answer is: 9, error count is: 3
the NO.207 classifier came back with: 5, the real answer is: 5, error count is: 3
the NO.208 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.209 classifier came back with: 9, the real answer is: 9, error count is: 3
the NO.210 classifier came back with: 4, the real answer is: 4, error count is: 3
the NO.211 classifier came back with: 5, the real answer is: 5, error count is: 3
the NO.212 classifier came back with: 9, the real answer is: 9, error count is: 3
the NO.213 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.214 classifier came back with: 9, the real answer is: 9, error count is: 3
the NO.215 classifier came back with: 0, the real answer is: 0, error count is: 3
the NO.216 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.217 classifier came back with: 6, the real answer is: 6, error count is: 3
the NO.218 classifier came back with: 5, the real answer is: 5, error count is: 3
the NO.219 classifier came back with: 5, the real answer is: 5, error count is: 3
the NO.220 classifier came back with: 7, the real answer is: 7, error count is: 3
the NO.221 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.222 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.223 classifier came back with: 7, the real answer is: 7, error count is: 3
the NO.224 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.225 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.226 classifier came back with: 8, the real answer is: 8, error count is: 3
the NO.227 classifier came back with: 4, the real answer is: 4, error count is: 3
the NO.228 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.229 classifier came back with: 7, the real answer is: 7, error count is: 3
the NO.230 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.231 classifier came back with: 3, the real answer is: 3, error count is: 3
the NO.232 classifier came back with: 8, the real answer is: 8, error count is: 3
the NO.233 classifier came back with: 8, the real answer is: 8, error count is: 3
the NO.234 classifier came back with: 7, the real answer is: 7, error count is: 3
the NO.235 classifier came back with: 9, the real answer is: 9, error count is: 3
the NO.236 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.237 classifier came back with: 2, the real answer is: 2, error count is: 3
the NO.238 classifier came back with: 4, the real answer is: 4, error count is: 3
the NO.239 classifier came back with: 1, the real answer is: 1, error count is: 3
the NO.240 classifier came back with: 5, the real answer is: 5, error count is: 3
the NO.241 classifier came back with: 8, the real answer is: 9, error count is: 3
the NO.242 classifier came back with: 8, the real answer is: 8, error count is: 4
the NO.243 classifier came back with: 7, the real answer is: 7, error count is: 4
the NO.244 classifier came back with: 2, the real answer is: 2, error count is: 4
the NO.245 classifier came back with: 3, the real answer is: 3, error count is: 4
the NO.246 classifier came back with: 0, the real answer is: 0, error count is: 4
the NO.247 classifier came back with: 6, the real answer is: 4, error count is: 4
the NO.248 classifier came back with: 4, the real answer is: 4, error count is: 5
the NO.249 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.250 classifier came back with: 4, the real answer is: 4, error count is: 5
the NO.251 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.252 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.253 classifier came back with: 5, the real answer is: 5, error count is: 5
the NO.254 classifier came back with: 7, the real answer is: 7, error count is: 5
the NO.255 classifier came back with: 7, the real answer is: 7, error count is: 5
the NO.256 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.257 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.258 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.259 classifier came back with: 6, the real answer is: 6, error count is: 5
the NO.260 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.261 classifier came back with: 5, the real answer is: 5, error count is: 5
the NO.262 classifier came back with: 7, the real answer is: 7, error count is: 5
the NO.263 classifier came back with: 7, the real answer is: 7, error count is: 5
the NO.264 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.265 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.266 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.267 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.268 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.269 classifier came back with: 0, the real answer is: 0, error count is: 5
the NO.270 classifier came back with: 3, the real answer is: 3, error count is: 5
the NO.271 classifier came back with: 0, the real answer is: 0, error count is: 5
the NO.272 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.273 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.274 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.275 classifier came back with: 4, the real answer is: 4, error count is: 5
the NO.276 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.277 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.278 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.279 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.280 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.281 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.282 classifier came back with: 7, the real answer is: 7, error count is: 5
the NO.283 classifier came back with: 5, the real answer is: 5, error count is: 5
the NO.284 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.285 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.286 classifier came back with: 6, the real answer is: 6, error count is: 5
the NO.287 classifier came back with: 4, the real answer is: 4, error count is: 5
the NO.288 classifier came back with: 1, the real answer is: 1, error count is: 5
the NO.289 classifier came back with: 5, the real answer is: 5, error count is: 5
the NO.290 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.291 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.292 classifier came back with: 9, the real answer is: 9, error count is: 5
the NO.293 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.294 classifier came back with: 0, the real answer is: 0, error count is: 5
the NO.295 classifier came back with: 4, the real answer is: 4, error count is: 5
the NO.296 classifier came back with: 0, the real answer is: 0, error count is: 5
the NO.297 classifier came back with: 0, the real answer is: 0, error count is: 5
the NO.298 classifier came back with: 2, the real answer is: 2, error count is: 5
the NO.299 classifier came back with: 8, the real answer is: 8, error count is: 5
the NO.300 classifier came back with: 1, the real answer is: 4, error count is: 5
the NO.301 classifier came back with: 7, the real answer is: 7, error count is: 6
the NO.302 classifier came back with: 1, the real answer is: 1, error count is: 6
the NO.303 classifier came back with: 2, the real answer is: 2, error count is: 6
the NO.304 classifier came back with: 4, the real answer is: 4, error count is: 6
the NO.305 classifier came back with: 0, the real answer is: 0, error count is: 6
the NO.306 classifier came back with: 2, the real answer is: 2, error count is: 6
the NO.307 classifier came back with: 7, the real answer is: 7, error count is: 6
the NO.308 classifier came back with: 4, the real answer is: 4, error count is: 6
the NO.309 classifier came back with: 3, the real answer is: 3, error count is: 6
the NO.310 classifier came back with: 3, the real answer is: 3, error count is: 6
the NO.311 classifier came back with: 0, the real answer is: 0, error count is: 6
the NO.312 classifier came back with: 0, the real answer is: 0, error count is: 6
the NO.313 classifier came back with: 3, the real answer is: 3, error count is: 6
the NO.314 classifier came back with: 1, the real answer is: 1, error count is: 6
the NO.315 classifier came back with: 9, the real answer is: 9, error count is: 6
the NO.316 classifier came back with: 6, the real answer is: 6, error count is: 6
the NO.317 classifier came back with: 5, the real answer is: 5, error count is: 6
the NO.318 classifier came back with: 2, the real answer is: 2, error count is: 6
the NO.319 classifier came back with: 5, the real answer is: 5, error count is: 6
the NO.320 classifier came back with: 7, the real answer is: 9, error count is: 6
the NO.321 classifier came back with: 7, the real answer is: 2, error count is: 7
the NO.322 classifier came back with: 9, the real answer is: 9, error count is: 8
the NO.323 classifier came back with: 3, the real answer is: 3, error count is: 8
the NO.324 classifier came back with: 0, the real answer is: 0, error count is: 8
the NO.325 classifier came back with: 4, the real answer is: 4, error count is: 8
the NO.326 classifier came back with: 2, the real answer is: 2, error count is: 8
the NO.327 classifier came back with: 0, the real answer is: 0, error count is: 8
the NO.328 classifier came back with: 7, the real answer is: 7, error count is: 8
the NO.329 classifier came back with: 1, the real answer is: 1, error count is: 8
the NO.330 classifier came back with: 1, the real answer is: 1, error count is: 8
the NO.331 classifier came back with: 2, the real answer is: 2, error count is: 8
the NO.332 classifier came back with: 1, the real answer is: 1, error count is: 8
the NO.333 classifier came back with: 5, the real answer is: 5, error count is: 8
the NO.334 classifier came back with: 3, the real answer is: 3, error count is: 8
the NO.335 classifier came back with: 3, the real answer is: 3, error count is: 8
the NO.336 classifier came back with: 9, the real answer is: 9, error count is: 8
the NO.337 classifier came back with: 7, the real answer is: 7, error count is: 8
the NO.338 classifier came back with: 8, the real answer is: 8, error count is: 8
the NO.339 classifier came back with: 6, the real answer is: 6, error count is: 8
the NO.340 classifier came back with: 5, the real answer is: 5, error count is: 8
the NO.341 classifier came back with: 4, the real answer is: 6, error count is: 8
the NO.342 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.343 classifier came back with: 3, the real answer is: 3, error count is: 9
the NO.344 classifier came back with: 8, the real answer is: 8, error count is: 9
the NO.345 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.346 classifier came back with: 0, the real answer is: 0, error count is: 9
the NO.347 classifier came back with: 5, the real answer is: 5, error count is: 9
the NO.348 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.349 classifier came back with: 3, the real answer is: 3, error count is: 9
the NO.350 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.351 classifier came back with: 5, the real answer is: 5, error count is: 9
the NO.352 classifier came back with: 5, the real answer is: 5, error count is: 9
the NO.353 classifier came back with: 6, the real answer is: 6, error count is: 9
the NO.354 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.355 classifier came back with: 8, the real answer is: 8, error count is: 9
the NO.356 classifier came back with: 5, the real answer is: 5, error count is: 9
the NO.357 classifier came back with: 1, the real answer is: 1, error count is: 9
the NO.358 classifier came back with: 4, the real answer is: 7, error count is: 9
the NO.359 classifier came back with: 9, the real answer is: 9, error count is: 10
the NO.360 classifier came back with: 4, the real answer is: 4, error count is: 10
the NO.361 classifier came back with: 6, the real answer is: 6, error count is: 10
the NO.362 classifier came back with: 2, the real answer is: 2, error count is: 10
the NO.363 classifier came back with: 2, the real answer is: 2, error count is: 10
the NO.364 classifier came back with: 5, the real answer is: 5, error count is: 10
the NO.365 classifier came back with: 0, the real answer is: 0, error count is: 10
the NO.366 classifier came back with: 6, the real answer is: 6, error count is: 10
the NO.367 classifier came back with: 5, the real answer is: 5, error count is: 10
the NO.368 classifier came back with: 6, the real answer is: 6, error count is: 10
the NO.369 classifier came back with: 3, the real answer is: 3, error count is: 10
the NO.370 classifier came back with: 7, the real answer is: 7, error count is: 10
the NO.371 classifier came back with: 2, the real answer is: 2, error count is: 10
the NO.372 classifier came back with: 0, the real answer is: 0, error count is: 10
the NO.373 classifier came back with: 8, the real answer is: 8, error count is: 10
the NO.374 classifier came back with: 8, the real answer is: 8, error count is: 10
the NO.375 classifier came back with: 5, the real answer is: 5, error count is: 10
the NO.376 classifier came back with: 4, the real answer is: 4, error count is: 10
the NO.377 classifier came back with: 1, the real answer is: 1, error count is: 10
the NO.378 classifier came back with: 1, the real answer is: 1, error count is: 10
the NO.379 classifier came back with: 4, the real answer is: 4, error count is: 10
the NO.380 classifier came back with: 0, the real answer is: 0, error count is: 10
the NO.381 classifier came back with: 7, the real answer is: 3, error count is: 10
the NO.382 classifier came back with: 3, the real answer is: 3, error count is: 11
the NO.383 classifier came back with: 7, the real answer is: 7, error count is: 11
the NO.384 classifier came back with: 6, the real answer is: 6, error count is: 11
the NO.385 classifier came back with: 1, the real answer is: 1, error count is: 11
the NO.386 classifier came back with: 6, the real answer is: 6, error count is: 11
the NO.387 classifier came back with: 2, the real answer is: 2, error count is: 11
the NO.388 classifier came back with: 1, the real answer is: 1, error count is: 11
the NO.389 classifier came back with: 9, the real answer is: 9, error count is: 11
the NO.390 classifier came back with: 2, the real answer is: 2, error count is: 11
the NO.391 classifier came back with: 8, the real answer is: 8, error count is: 11
the NO.392 classifier came back with: 6, the real answer is: 6, error count is: 11
the NO.393 classifier came back with: 1, the real answer is: 1, error count is: 11
the NO.394 classifier came back with: 9, the real answer is: 9, error count is: 11
the NO.395 classifier came back with: 5, the real answer is: 5, error count is: 11
the NO.396 classifier came back with: 2, the real answer is: 2, error count is: 11
the NO.397 classifier came back with: 5, the real answer is: 5, error count is: 11
the NO.398 classifier came back with: 4, the real answer is: 4, error count is: 11
the NO.399 classifier came back with: 4, the real answer is: 4, error count is: 11
the NO.400 classifier came back with: 2, the real answer is: 2, error count is: 11
the NO.401 classifier came back with: 8, the real answer is: 8, error count is: 11
the NO.402 classifier came back with: 3, the real answer is: 3, error count is: 11
the NO.403 classifier came back with: 8, the real answer is: 8, error count is: 11
the NO.404 classifier came back with: 2, the real answer is: 2, error count is: 11
the NO.405 classifier came back with: 4, the real answer is: 4, error count is: 11
the NO.406 classifier came back with: 5, the real answer is: 5, error count is: 11
the NO.407 classifier came back with: 0, the real answer is: 0, error count is: 11
the NO.408 classifier came back with: 3, the real answer is: 3, error count is: 11
the NO.409 classifier came back with: 1, the real answer is: 1, error count is: 11
the NO.410 classifier came back with: 7, the real answer is: 7, error count is: 11
